k_array Pk[0,:]
4.318835510465635075e-03 4.017030073125180206e+04
4.364890268944641473e-03 4.045049375416769180e+04
4.411436141468950620e-03 4.073089692493135954e+04
4.458478365130537878e-03 4.101157370144615561e+04
4.506022232868118170e-03 4.129261207243170065e+04
4.554073094062737262e-03 4.157406682505216304e+04
4.602636355139607185e-03 4.185588942149617651e+04
4.651717480176428658e-03 4.213801123576356622e+04
4.701321991518195298e-03 4.242036837859013758e+04
4.751455470398489173e-03 4.270292349900094996e+04
4.802123557567514883e-03 4.298564641858050163e+04
4.853331953926716055e-03 4.326850559911833261e+04
4.905086421170230110e-03 4.355146243742531806e+04
4.957392782433179580e-03 4.383447493021309492e+04
5.010256922946808647e-03 4.411750012940154556e+04
5.063684790700727703e-03 4.440049138679807947e+04
5.117682397112089873e-03 4.468339941574728437e+04
5.172255817701990055e-03 4.496617489813126303e+04
5.227411192779065664e-03 4.524878300521285564e+04
5.283154728130314698e-03 4.553120242492826947e+04
5.339492695719413873e-03 4.581341105709325348e+04
5.396431434392344288e-03 4.609533603431664960e+04
5.453977350590629054e-03 4.637683614333385776e+04
5.512136919072172479e-03 4.665776335178630688e+04
5.570916683639702549e-03 4.693804555828199955e+04
5.630323257877125481e-03 4.721776244559208135e+04
5.690363325893586788e-03 4.749701367606054555e+04
5.751043643075553699e-03 4.777584551378346077e+04
5.812371036846922419e-03 4.805414256875435967e+04
5.874352407437132863e-03 4.833175790643920482e+04
5.936994728657631754e-03 4.860855950742262939e+04
6.000305048686463763e-03 4.888449142839901469e+04
6.064290490861314227e-03 4.915951883985752647e+04
6.128958254481019045e-03 4.943360425552760717e+04
6.194315615615520083e-03 4.970669249403466529e+04
6.260369927924615621e-03 4.997872049296753539e+04
6.327128623485289878e-03 5.024962405568518443e+04
6.394599213627950342e-03 5.051933347980107646e+04
6.462789289781592852e-03 5.078777530377275252e+04
6.531706524327875359e-03 5.105487645013732981e+04
6.601358671464462036e-03 5.132058678206826880e+04
6.671753568077418324e-03 5.158487733905428468e+04
6.742899134622993423e-03 5.184771908081157017e+04
6.814803376018820601e-03 5.210904196159706771e+04
6.887474382544511893e-03 5.236872125146092003e+04
6.960920330752025376e-03 5.262662716074260243e+04
7.035149484385576878e-03 5.288265887027383724e+04
7.110170195311453500e-03 5.313677343728484266e+04
7.185990904457754090e-03 5.338893467303954094e+04
7.262620142764036717e-03 5.363909441570836498e+04
7.340066532141274747e-03 5.388716946076797467e+04
7.418338786441869108e-03 5.413306972945490270e+04
7.497445712440113132e-03 5.437670764408644754e+04
7.577396210823112571e-03 5.461800907851914963e+04
7.658199277192162535e-03 5.485690342728554242e+04
7.739864003074987259e-03 5.509331706030184432e+04
7.822399576948590311e-03 5.532715720833867090e+04
7.905815285273117693e-03 5.555832269808622368e+04
7.990120513536759853e-03 5.578671395950416627e+04
8.075324747311658780e-03 5.601225568406077946e+04
8.161437573321298974e-03 5.623488772275611700e+04
8.248468680519052687e-03 5.645454910765726527e+04
8.336427861178368620e-03 5.667115660806331289e+04
8.425325011994579810e-03 5.688460672007425455e+04
8.515170135198327217e-03 5.709479501405128394e+04
8.605973339681084744e-03 5.730162503597520117e+04
8.697744842132459561e-03 5.750501100213911559e+04
8.790494968189760394e-03 5.770486782172203675e+04
8.884234153599776529e-03 5.790110879927228234e+04
8.978972945392942745e-03 5.809364417343176319e+04
9.074722003070070583e-03 5.828238388261946238e+04
9.171492099801644218e-03 5.846723580464643601e+04
9.269294123639996649e-03 5.864810179486322886e+04
9.368139078744361012e-03 5.882488271275778970e+04
9.468038086618999968e-03 5.899748035153752426e+04
9.569002387364562365e-03 5.916580019174503104e+04
9.671043340942717462e-03 5.932974895570404624e+04
9.774172428454342559e-03 5.948923346106112876e+04
9.878401253431307386e-03 5.964415916530560935e+04
9.983741543142040861e-03 5.979443124589891522e+04
1.009020514991104504e-02 5.993995504098009405e+04
1.019780405245241002e-02 6.008063278450242797e+04
1.030655035721762640e-02 6.021636506058851228e+04
1.041645629975772487e-02 6.034705317448635469e+04
1.052753424609995450e-02 6.047260137809920707e+04
1.063979669413917840e-02 6.059291670950184198e+04
1.075325627504400416e-02 6.070790706665883044e+04
1.086792575467802197e-02 6.081747816915427393e+04
1.098381803503613828e-02 6.092153269654840551e+04
1.110094615569622717e-02 6.101997409383372724e+04
1.121932329528631950e-02 6.111270722596695850e+04
1.133896277296732834e-02 6.119963873843623151e+04
1.145987804993168699e-02 6.128067660293880908e+04
1.158208273091792043e-02 6.135573033806234889e+04
1.170559056574137051e-02 6.142471147178222600e+04
1.183041545084129696e-02 6.148753312881479360e+04
1.195657143084435589e-02 6.154410900489643973e+04
1.208407270014487563e-02 6.159435013695549424e+04
1.221293360450192121e-02 6.163816811136250180e+04
1.234316864265339389e-02 6.167547673359997862e+04
1.247479246794739108e-02 6.170619455742715218e+04
1.260781988999086327e-02 6.173024327140484093e+04
1.274226587631594604e-02 6.174754656158345460e+04
1.287814555406402092e-02 6.175802973234349338e+04
1.301547421168773068e-02 6.176161998241664696e+04
1.315426730067119701e-02 6.175824673065764364e+04
1.329454043726847196e-02 6.174784078574599698e+04
1.343630940426063410e-02 6.173033453892992111e+04
1.357959015273158161e-02 6.170566289828014123e+04
1.372439880386274250e-02 6.167376458143477794e+04
1.387075165074699856e-02 6.163458253109041107e+04
1.401866516022181458e-02 6.158806253996725718e+04
1.416815597472205653e-02 6.153415429344709264e+04
1.431924091415249373e-02 6.147281238138841582e+04
1.447193697778026422e-02 6.140399455410397059e+04
1.462626134614760862e-02 6.132766196345091157e+04
1.478223138300484296e-02 6.124377994321558072e+04
1.493986463726408587e-02 6.115231713798845158e+04
1.509917884497376239e-02 6.105324633650451869e+04
1.526019193131414667e-02 6.094654769225728523e+04
1.542292201261427458e-02 6.083220570784877782e+04
1.558738739839020220e-02 6.071020847384198714e+04
1.575360659340514780e-02 6.058054942096598825e+04
